,id_lattes,titulo,autores,terms
309,2933812315339699,A Programação Linear na Agromatemática,"AZZI, J. B.; LIMA, F. M.; SOUZA, T. A.; SANCHEZ DELGADO, A. R.","[('programação linear', 'a programação linear na agromatemática')]"
310,2937182050702659,Um Estudo Comparativo entre os Algoritmos Finalistas do AES,"RIBEIRO, V. G.; RIBEIRO, V. G.; SALES, C. L. C.","[('algoritmos', 'um estudo comparativo entre os algoritmos finalistas do aes')]"
311,2937182050702659,Um estudo comparativo de algoritmos de criptografia de chave pública: RSA versus curvas elípticas,"FERREIRA, L. E.; RIBEIRO, V. G.; SILVEIRA, Sidnei Renato; ZABADAL, J. R. S.","[('algoritmos', 'um estudo comparativo de algoritmos de criptografia de chave pública: rsa versus curvas elípticas')]"
312,2970320445020239,A Utilização da Programação Dinâmica no Ensino Fundamental,"SANTANA, Claudinei de Camargo; RIPPER, A. V.","[('programação dinâmica', 'a utilização da programação dinâmica no ensino fundamental')]"
313,3013310508802569,RECONSTRUINDO A COMPREENSÃO DE PRÁTICA PEDAGÓGICA: UMA ANÁLISE SOBRE A APRENDIZAGEM DE ALGORITMOS,"NORONHA, F. P. T.; BACKES, L.; CASAGRANDE, C. A.","[('algoritmos', 'reconstruindo a compreensão de prática pedagógica: uma análise sobre a aprendizagem de algoritmos')]"
314,3035514390746549,Comparação de Seis Algoritmos para a Determinação da Difusividade Térmica de um Latossolo Amarelo,"SOARES, Willames de Albuquerque; ANTONINO, Antonio Celso Dantas; LIMA, J. R. S.; LIRA, C. A. B. O.","[('algoritmos', 'comparação de seis algoritmos para a determinação da difusividade térmica de um latossolo amarelo')]"
315,3226189302451639,A logística de uma cooperativa orizícola: uma aplicação de programação linear,"GAMEIRO, A. H.; CAIXETA FILHO, José Vicente","[('programação linear', 'a logística de uma cooperativa orizícola: uma aplicação de programação linear')]"
316,3296535547472349,"Utilização da microespectroscopia infravermelha (FT-IR) para teste de algoritmos estatísticos na diferenciação dos micro-organismos Candida albicans, Candida dubliniensis e Candida parapsilosis","DOS SANTOS, PATRÍCIA MARCONDES; CARDOSO, MARIA ANGÉLICA GARGIONE; KHOURI, SÔNIA; JÚNIOR, ALDERICO RODRIGUES DE PAULA; UEHARA, MITUO; SAKANE, KUMIKO KOIBUCHI","[('algoritmos', 'utilização da microespectroscopia infravermelha (ft-ir) para teste de algoritmos estatísticos na diferenciação dos micro-organismos candida albicans, candida dubliniensis e candida parapsilosis')]"
317,3351966274782009,Proposta de prevenção cardiovascular baseada em análise de risco de algoritmos por aprendizado de máquina em comunidades,"MARTINEZ, Tania Leme da Rocha; PEREIRA, Abel; SALDANHA, A. L. R.; ABRÃO, TATIANA C.; HERNANDES, Vitoria Gascon; BELLINCANTA, Tereza Luiza; VERA, Daphnne Camaroske; PANTOJA, Ana Paula; ANTUNES, I.; FONSECA, LUCAS M.M.; FONSECA, Henrique Andrade Rodrigues; SANTOS FILHO, Raul Dias","[('algoritmos', 'proposta de prevenção cardiovascular baseada em análise de risco de algoritmos por aprendizado de máquina em comunidades')]"
318,3351966274782009,Proposta de prevenção cardiovascular baseada em análise de risco de algoritmos por aprendizado de máquina em comunidades,"MARTINEZ, Tania Leme da Rocha; PEREIRA, Abel; SALDANHA, A. L. R.; ABRÃO, TATIANA C.; HERNANDES, Vitoria Gascon; BELLINCANTA, Tereza Luiza; VERA, Daphnne Camaroske; MARGEOTTO AP; ANTUNES, I.; FONSECA, LUCAS M.M.; FONSECA, Henrique Andrade Rodrigues; SANTOS FILHO, Raul Dias","[('algoritmos', 'proposta de prevenção cardiovascular baseada em análise de risco de algoritmos por aprendizado de máquina em comunidades')]"
319,3408305339297459,Algoritmos Híbridos para o Roteamento e Alocação de Comprimentos de Onda em Redes Ópticas,"ASSIS, Karcius Day Rosario de; SANTOS, Alex Ferreira dos; GIOZZA, W. F.","[('algoritmos', 'algoritmos híbridos para o roteamento e alocação de comprimentos de onda em redes ópticas')]"
320,3555343191187669,Problema de deslocamento de viaturas militares pela rede ferroviária federal (uma abordagem em programação linear),"ROCHA, N. C. S.; MORETTI, A.","[('programação linear', 'problema de deslocamento de viaturas militares pela rede ferroviária federal (uma abordagem em programação linear)')]"
321,3560224222605289,A eficiência de algoritmos matemáticos para avaliação do ruído urbano,"BRITO, LUIZ ANTONIO PERRONE FERREIRA; CARVALHO JUNIOR, J. B.; TOLEDO, V. D.","[('algoritmos', 'a eficiência de algoritmos matemáticos para avaliação do ruído urbano')]"
322,3663706324420879,APLICAÇÃO DE ALGORITMOS GENÉTICOS PARA O PLANEJAMENTO DE GERAÇÃO DISTRIBUÍDA EM SISTEMAS DE DISTRIBUIÇÃO,"OLIVEIRA, L. W.; OLIVEIRA, ANGELO R.; GOMES, F. V.; DIAS, BRUNO H.; SILVA JUNIOR, Ivo Chaves da","[('algoritmos', 'aplicação de algoritmos genéticos para o planejamento de geração distribuída em sistemas de distribuição')]"
323,3684532671848409,APRENDIZAGEM EM SOLUÇÃO DE PROBLEMAS: A UTILIZAÇÃO DE PROGRAMAÇÃO LINEAR PARA DETERMINAR MELHOR OPÇÃO DE COMPRA,"NOGUEIRA, C. W.; Taglialenha, S. L. S; Stachelski , W.","[('programação linear', 'aprendizagem em solução de problemas: a utilização de programação linear para determinar melhor opção de compra')]"
324,4050202318600269,Padronização da Sintaxe e Informações sobre Regras Induzidas a Partir de Algoritmos de Aprendizado de Máquina Simbólico,"PRATI, R. C.; Baranauskas, J. A.; MONARD, M. C.","[('algoritmos', 'padronização da sintaxe e informações sobre regras induzidas a partir de algoritmos de aprendizado de máquina simbólico')]"
325,4091533649789109,Algoritmos PMV-MBPC para conforto térmico em edificações e aplicação em uma célula-teste,"DONAISKY, E.; OLIVEIRA, G. H. C.; MENDES, N.","[('algoritmos', 'algoritmos pmv-mbpc para conforto térmico em edificações e aplicação em uma célula-teste')]"
326,4124167208584279,Modelo de Programação Linear Inteira Mista para o Dimensionamento Ótimo de uma Termelétrica - Estudo de Caso: Termelétrica do Complexo Logístico do Açu,"Vianna, D. S.; SOUSA JUNIOR, J. B.; MEZA, E. B. M.; Dianin, M. F. V.","[('programação linear', 'modelo de programação linear inteira mista para o dimensionamento ótimo de uma termelétrica - estudo de caso: termelétrica do complexo logístico do açu')]"
327,4151613564138709,"Avaliação dos Métodos de Grant, Vora & Weeks e dos Mínimos Quadrados na Determinação do Valor Incremental do Mercado de Carbono nos Projetos de Geração de Energia Elétrica no Brasil","BATISTA, F. R. S.; TEIXEIRA, J. P.; Tara Keshar Nanda Baidya; MELO, A. C. G.","[('mínimos quadrados', 'avaliação dos métodos de grant, vora & weeks e dos mínimos quadrados na determinação do valor incremental do mercado de carbono nos projetos de geração de energia elétrica no brasil')]"
328,4162826845630069,Avaliação dos processos erosivos pela Equação Universal de Perdas de Solos com Algoritmos do SPRING.,"RUHOFF, A. L.; SOUZA, B. S. P. e.; PEREIRA, R. S.; GIOTTO, E.","[('algoritmos', 'avaliação dos processos erosivos pela equação universal de perdas de solos com algoritmos do spring.')]"
