ID-Lattes	Título	Ano	Tipo	Título-do-livro	P-inicial	P-final	ISBN	Editora	Palavras-chave	
1805029396938951	Conselhos Municipais de Saúde da Região Metropolitana de Porto Alegre	2009	Capítulo de livro publicado	Participação e Saúde no Brasil	145	176	9788575411766	Fiocruz	['Conselhos Municipais de Saúde', 'Conselhos de Políticas Públicas', 'Participação', 'Politica de Saude Brasil']
1805029396938951	Mecanismos de participação em hospitais do Ministério da Saúde	2009	Capítulo de livro publicado	Participação e Saúde no Brasil	177	198	9788575411766	Fiocruz	['Hospital', 'Participação', 'Politica de Saude Brasil']
1805029396938951	Uma síntese do debate sobre os mecanismos e as dinâmicas participativas no Sistema Único de Saúde	2009	Capítulo de livro publicado	Participação e Saúde no Brasil	62		9788575411766	Fiocruz	['Conselhos de Políticas Públicas', 'Conselhos de Saúde', 'Participação', 'Instituições', 'Comunidade Política', 'Politica de Saude Brasil']
1805029396938951	Cuando nuevos personajes dominan el escenario: recursos organizativos y relaciones de poder en Consejo Nacional de Salud de Brasil	2010	Capítulo de livro publicado	La innovación democrática en América Latina. Tramas y nudos de la representación, la participación y el control social	247	282	9786074860443	CIESAS-Universidad Veracruzana	['Participação', 'Conselhos de Saúde', 'Conselho Nacional de Saúde']
1805029396938951	Conselhos de Políticas Públicas: o falso dilema entre iinstitucionalização e democratização da gestão pública	2010	Capítulo de livro publicado	Políticas Culturais, Democracia & Conselhos de Cultura	51	70	9788523207380	Editora da Universidade Federal da Bahia	['Conselhos de Políticas Públicas', 'Conselhos de Cultura', 'Participação']
1805029396938951	Instituições participativas e acesso a serviços públicos nos municípios Brasileiros	2011	Capítulo de livro publicado	Efetividade das instituições participativas no Brasil: estratégias de avaliação	77	86	9788578111090	IPEA	['Conselhos de Políticas Públicas', 'Participação', 'Orçamento Participativo', 'Instituições Participativas']
1805029396938951	As diferentes instituições participativas existentes nos municípios brasileiros	2011	Capítulo de livro publicado	Efetividade das instituições participativas no Brasil: estratégias de avaliação	137	150	9788578111090	IPEA	['Participação', 'Conselhos de Políticas Públicas', 'Orçamento Participativo', 'Instituições Participativas']
1805029396938951	Como fazer análise qualitativa de dados	2012	Capítulo de livro publicado	Métodos e técnicas de pesquisa : modelando as ciências empresariais	321	363	9788502173712	Saraiva	['Metodologia de Pesquisa Social', 'Pesquisa Qualitativa']
1805029396938951	Cultura, Política e Cidadania: uma análise das representações e da atuação política dos moradores da Região Metropolitana de Porto Alegre	2012	Capítulo de livro publicado	Cultura Política, Cidadania e Voto: desafios para a governança metropolitana	349	385	9788577851379	Letra Capital	['Cidadania', 'Cultura Política', 'Participação']
1805029396938951	Brazil's National Council for Social Assistance and the policy community supporting social assistance as a right	2013	Capítulo de livro publicado	Policy Analysis in Brazil	135	148	9781447306849	Polity Press	['Participação', 'Conselho Nacional de Assistência Social', 'Conselhos de Políticas Públicas', 'Comunidade Política']
1805029396938951	Reformas de sistemas de saúde em contextos de reforma do estado: os casos do Brasil e de Portugal	2013	Capítulo de livro publicado	Saúde, medicina e sociedade. Uma visão sociológica	75	98	9789896930240	Pactor	['Política de Saúde', 'Politica de Saude Brasil', 'Política de Saúde Portugal']
1805029396938951	Sociologia e Políticas Públicas	2013	Capítulo de livro publicado	A Política Pública como Campo Multidisciplinar	47	68	9788575414224	Fiocruz	['Sociologia', 'Políticas Públicas']
1805029396938951	Governança Democrática no Brasil: os conselhos nacionais de políticas sociais	2014	Capítulo de livro publicado	Democracia participativa, sociedade civil e território	25	48	9788538602552	UFRGS	['Participação', 'Conselho Nacional de Saúde', 'Conselho Nacional de Assistência Social', 'Governança']
1805029396938951	O Sistema Único de Saúde: uma avaliação	2014	Capítulo de livro publicado	Avaliação de Políticas Públicas	179	194	9788538602576	UFRGS	['Política de Saúde', 'Politica de Saude Brasil', 'Avaliação de Políticas Públicas', 'SUS']
1805029396938951	Governança das Metrópoles na Agenda do Governo Estadual: Região Metropolitana de Porto Alegre	2015	Capítulo de livro publicado	Porto Alegre: transformações na ordem urbana	314	344	9788577853410	Letra Capital	['governança metropolitana', 'RMPA', 'Comunidade Política', 'Participação']
1805029396938951	Participação em conselhos de políticas públicas municipais: arcabouço institucional, organização da sociedade civil, gestores municipais e policy communities	2004	Capítulo de livro publicado	Desigualdades Socioespaciais na Região Metropolitana de Porto Alegre: uma coletânea	1	22	8571730318	FEE - Fundação de Economia e Estatística	['Conselhos de Políticas Públicas', 'Participação', 'Instituições Participativas']
1805029396938951	Arcabouço institucional e participação em conselhos municipais de saúde e assistência social	2004	Capítulo de livro publicado	Desigualdades Socioespaciais na Região Metropolitana de Porto Alegre: uma coletânea	1	29	8571730318	FEE - Fundação de Economia e Estatística	['Conselhos de Políticas Públicas', 'Conselhos Municipais de Saúde', 'Conselhos de Assistência Social', 'Participação', 'Instituições Participativas']
1805029396938951	Formalização dos Processos Metodológicos na Pesquisa Social: Construção de Modelos Analíticos e a Publicização dos Procedimentos de Investigação	2016	Capítulo de livro publicado	Metodologia em Ciências Sociais Hoje	261	278	9788546203840	Paco Editorial	['Metodologia de Pesquisa Social']
1805029396938951	Politische Partizipation und öffentliche Verwaltung: Formen der Bürgerpartizipation in den brasilianischen Kommunen	2019	Capítulo de livro publicado	Öffentliche Verwaltung in Brasilien und Deutschland	59	86	9783658275501	Springer	['Participação', 'E-Participação', 'E-Participação nos Municípios do Brasil']
1805029396938951	Conselhos e Conferências de Saúde: papel institucional e mudança nas relações entre Estado e sociedade	2009	Capítulo de livro publicado	Seminário Saúde e Democracia: participação política e institucionalidade democrática	102	128	9788588422087	CEBES	['Participação', 'Conselho Nacional de Saúde', 'Conselhos de Saúde', 'Conselho Estadual de Saúde', 'Conselhos de Políticas Públicas', 'Conselhos Municipais de Saúde']
1911899537342394	O jogo Orçamentário da União: Relações Executivo-Legislativo	1997	Capítulo de livro publicado	Reformado Estado: Dilemas da Consolidação Democrática	83	124	8523004491	Editora da UnB/ENAP	['Processo Orçamentário', 'Pork Barrel', 'relações Executivo-Legislativo']
