ID-Lattes	Título	Ano	Tipo	Natureza	Volumes	Páginas	ISBN	Edição	Série	Editora	Palavras-chave	
3386402716993689	Desigualdade e Diversidade - Dossiê Especial dez. 2011	2011	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA	1	212	19823894	1		Editora da PUC-Rio	[]
3386402716993689	Visões do golpe, a memória militar sobre 1964	1994	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	257	8585427620	1		Relume Dumará	[]
3386402716993689	Cadernos dos alunos da pós-graduação em Ciências Sociais da PUC-Rio	2014	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA	1	192	9788580061420	1		Editora da PUC-Rio	[]
3386402716993689	Getúlio Vargas	2017	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	427	9788540205123	1		Edições Câmara	[]
3386402716993689	Técnicos, intelectuais e políticos na Nova República. Um perfil das dirigentes públicos dos governos Fernando Henrique, Lula e Dilma	2018	LIVRO_ORGANIZADO_OU_EDICAO	NAO_INFORMADO	1	153	9788580062588	1		Editora da PUC-Rio	[]
3386402716993689	Redemocratização e mudança social no Brasil	2014	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	229	9788522515035	1		Edit. da FGV	[]
3500104366301286	Modelo multissetorial CEPAL/IPEA para o Brasil	1988	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	105			2	IPEA/CEPAL	['modelo de consistência multissetorial']
3500104366301286	Risco e Regulação	2010	LIVRO_PUBLICADO	COLETANEA	1	291	9788535235449			Campus	[]
3500104366301286	The Financial System and the Brazilian Economy During the Great Crisis of 2008	2011	LIVRO_PUBLICADO	TEXTO_INTEGRAL			9788586500664			ANBIMA	[]
3500104366301286	O Sistema Financeiro e a Economia Brasileira Durante a Grande Crise de 2008	2011	LIVRO_PUBLICADO	TEXTO_INTEGRAL			9788586500657			Anbima	[]
3500104366301286	Financial market volatility and performance in emerging markets	2008	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		287				The Chicago University Press	[]
3539564256173485	Stakeholder Analysis and Public Sector Organizations	2009	LIVRO_PUBLICADO	NAO_INFORMADO	1	277	9783639206	1	1	VDM Verlag Dr. Müller Aktiengesellschaft & Co. KG	['stakeholder analysis', 'local government', 'public sector organizations']
3539564256173485	Dicionário de Políticas Públicas	2013	LIVRO_PUBLICADO	VERBETE	02	568	9788540100992	1	1	FUNDAP	['administração de stakeholders', 'Administração Pública']
3851480345390580	Histórias de um Brasil que Funciona	2001	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		93		1			[]
3851480345390580	Redução da Pobreza e Dinâmicas Locais	2001	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		328	8522503540	1		Editora da Fundação Getulio Vargas	[]
3851480345390580	Psicologia e Sociedade	1999	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		177		1			[]
3851480345390580	Parcerias e Pobreza: Soluções Locais na Construção de Relações Sócio-Econômicas	2000	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		149		1		Editora Fundação Getulio Vargas	[]
