ID-Lattes	Título	Ano	DOI	Veículo	ISSN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	Autores	Quantidade-autores
1805029396938951	Fundamentos da confiança: associativismo, instituições político-administrativas e capital social na Região Metropolitana de Porto Alegre	2009		Cadernos Metrópole (PUCSP)	15172422	21			155	172	['Capital Social', 'Movimentos Sociais', 'Instituições', 'Associativismo']	SILVA, M.K.; CORTES, S. M. V.	2
1805029396938951	Entre neocorporativistas e deliberativos: uma interpretação sobre os paradigmas de análise dos fóruns participativos no Brasil	2010	10.1590/S1517-45222010000200004	Sociologias (UFRGS. Impresso)	15174522	12		24	44	75	['Participação', 'Orçamento Participativo', 'Conselhos de Políticas Públicas']	CORTES, S. M. V.; GUGLIANO, A.A.	2
1805029396938951	Sociedade civil, instituições e atores estatais: interdependências e condicionantes da atuação de atores sociais em fóruns participativos	2010		Estudos de Sociologia (São Paulo)	14140144	29			425	445	['Participação', 'Sociedade civil', 'Instituições']	CORTES, S. M. V.; SILVA, M.K.	2
1805029396938951	Explaining political activism in Southern Brazil: engagement in political and nonpolitical organizations, education, motivation, and the role of the state	2011		International Journal of Sociology	00207659	41		2	74	93	['Desigualdade Política', 'Metrópoles']	CORTES, S. M. V.; SILVA, M.K.; DRACHLER, M.L.	3
1805029396938951	Guest Editors' Introduction	2011	10.2753/IJS0020-7659410200	International Journal of Sociology	00207659	41		2	3	9	['Desigualdade Política', 'América Latina']	CORTES, S. M. V.; DUBROW, J.	2
1805029396938951	Mecanismos de participação e atores sociais em hospitais: o caso do Grupo Hospitalar Conceição-RS	2012	10.1590/S0104-12902012000500005	Saúde e Sociedade (USP. Impresso)	01041290	21			59	70	['Participação', 'Hospital', 'Participação Hospitais', 'Política de Saúde']	Possa, Lisiane Bôer; Cortes, Soraya Maria Vargas	2
1805029396938951	A contribuição da sociologia para a análise de políticas públicas	2012		Lua Nova (Impresso)	01026445	87			33		['Sociologia', 'Políticas Públicas', 'Atores Societais', 'Imperativos Cognitivos', 'Imperativos Normativos', 'Instituições']	CORTES, S. M. V.; LIMA, L. L.	2
1805029396938951	Guest Editors' Introduction. Democracy, global governance, and political inequality	2013		International Journal of Sociology	00207659	43		M.E.Sharpe	3	12	['Democracia', 'Globalização', 'Desigualdade Política', 'Governança']	DUBROW, J.; CORTES, S. M. V.	2
1805029396938951	Contribuições teóricas e à pesquisa empírica da Sociologia às políticas públicas	2013		Revista Brasileira de Sociologia	23178507	1		SBS	35	56	['Sociologia', 'Políticas Públicas']	CORTES, S. M. V.	1
1805029396938951	The sociology in Brazil and the interdisciplinary in social sciences	2013	10.1007/s12592-013-0148-0	Soziale Passagen (Print)	18670180	5		2	161	175	['Sociologia', 'Interdisciplinaridade']	LIMA, JACOB CARLOS; Cortes, Soraya Maria Vargas	2
1805029396938951	A sociologia no Brasil e a interdisciplinaridade nas ciências sociais	2013		Civitas (Porto Alegre)	19847289	13		3	416	435	['Sociologia no Brasil', 'Ciências Sociais no Brasil', 'Pós-Graduação no Brasil', 'Interdisciplinaridade']	LIMA, JACOB CARLOS; CORTES, S. M. V.	2
1805029396938951	Policy community defensora de direitos e a transforma&#231;&#227;o do Conselho Nacional de Assist&#234;ncia Social	2015	10.1590/15174522-017003806	Sociologias (UFRGS. Impresso)	15174522	17		38	122	154	['Politica de Assistencia Social Brasil', 'Comunidade Política', 'Conselho Nacional de Assistência Social']	Cortes, Soraya Vargas	1
1805029396938951	Tendências e Desafios Contemporâneos da Sociologia Política	2015	10.1590/15174522-017003801	Sociologias (UFRGS. Impresso)	15174522	17		38	14	17	[]	Cortes, Soraya Vargas	1
1805029396938951	Sociologies in Dialogue	2016	10.20336/sid.v2i1.31	SOCIOLOGIES IN DIALOGUE	24472670	2		1	1	15	['Geopolitics of Knowledge', 'Sociologies']	MISKOLCI, RICHARD; SCALON, CELI; Cortes, Soraya Vargas; SALATA, ANDRE RICARDO	4
1805029396938951	Democratic governance in Brazil: policy communities shaping national councils of social policies	2017		SOCIOLOGIES IN DIALOGUE	24472670	3			225	239	['Participação', 'Conselho Nacional de Saúde', 'Governança']	CORTES, S. M. V.	1
