ID-Lattes	Instituição	Tipo-Vínculo	Enquadramento	Mês-Inicio	Ano-Inicio	Mês-Fim	Ano-Fim	Outras-Informações	Outro-Vínculo	Outro-Enquadramento-Funcional
3539564256173485	Universidade de Brasília	LIVRE	LIVRE	03	2012	03	2014			Professor Associado I
3539564256173485	Universidade de Brasília	SERVIDOR_PUBLICO	LIVRE	04	2014	01	2016			Professor Associado II
3539564256173485	Universidade de Brasília	SERVIDOR_PUBLICO	LIVRE	02	2016	08	2019	Aposentado pelo Ato da Reitoria Nº 1.827/2019, publicado no DO do dia 13 de agosto de 2019		Professor Associado III
3539564256173485	Georgia State University	PROFESSOR_VISITANTE	LIVRE	05	2013	05	2014			Visiting Scholar
4727357182510680	Universidade Federal do ABC	LIVRE	LIVRE	04	2014	06	2016			Professor Adjunto II
4727357182510680	Universidade Federal do ABC	SERVIDOR_PUBLICO	LIVRE	04	2012	03	2014			Professor Adjunto I
4727357182510680	Universidade Federal do ABC	SERVIDOR_PUBLICO	LIVRE	07	2016	10	2018			Professor Adjunto III
4727357182510680	Universidade Federal do ABC	SERVIDOR_PUBLICO	LIVRE	11	2018					Professor Adjunto IV
4923576932176873	Universidade Federal de Santa Catarina	LIVRE	LIVRE	01	1992	02	1994		Bolsista recém-doutor	Pesquisador/Professor
4923576932176873	Universidade Federal de Santa Catarina	LIVRE	LIVRE	03	1986	02	1987			Professor Assistente
4923576932176873	Universidade Federal de Santa Catarina	SERVIDOR_PUBLICO	LIVRE	1	1997	5	2006			Professor Adjunto
4923576932176873	Universidade Federal de Santa Catarina	LIVRE	LIVRE	5	2006	05	2014			Professor Associado
4923576932176873	Universidade Federal de Santa Catarina	SERVIDOR_PUBLICO	PROFESSOR_TITULAR	05	2014	09	2017			
4923576932176873	Universidade Federal do Rio de Janeiro	LIVRE	LIVRE		1994		1997			Professor Adjunto
5322636314530267	Universidade Federal do Rio de Janeiro	PROFESSOR_VISITANTE	LIVRE	03	1994	10	1996			Professor Visitante
5322636314530267	Universidade Federal do Rio de Janeiro	LIVRE	LIVRE	10	1996			Aprovado em primeiro lugar em concurso público Possui Bolsa de Produtividade em Pesquisa do CNPq (2-A)	Professor Adjunto	Professor Adjunto 2
6037766951080411	NEC do Brasil	CELETISTA	LIVRE	01	1997	01	2000			Engenheiro
6037766951080411	Fundação Getulio Vargas - SP	LIVRE	LIVRE	02	2004	03	2008		Doutorando	livre
6476649401093818	Universidade Estadual Paulista Júlio de Mesquita Filho	LIVRE	LIVRE	11	1987			Contratada pela UNESP em 1987 sob regime celetista de trabalho. Em 1995 o vínculo empregatício com a UNESP foi transformado em regime autárquico. Em novembro de 2002, por meio de Concurso Público na disciplina Teoria das Organizações Formais, o vínculo empregatício passou para o regime estatutário com a efetivação de cargo docente MS3. Em 15.10.2010, D.O. p. 47, foi oficializada a transferência do Depto. de Administração e Supervisão Escolar para o Depto. de Filosofia, no cargo docente MS3.		RDIDP
6879546236123358	Universidade de Brasília	LIVRE	LIVRE	08	2008			Professor do Departamento de Economia		Professor Associado I
6879546236123358	Northwestern University	LIVRE	LIVRE	08	2012	07	2013		Pesquisador Visitante	Pesquisador em Ano Sabático (CAPES)
8761482881522916	Esso Brasileira de Petróleo	CELETISTA	LIVRE	3	1994	3	1999	Atuação em diversas posições dentro do Departamento de Vendas em Markrting, tendo se destacado nas funções de Analista de Marketing e Conselheira de Negócios. Responsável pelas atividades de planejamento da cadeia varejista, análise de investimentos em imagem e modernização, acompanhamento e orientação no canal de distribuição.		Analista de Marketing e Conselheira Negócios
8761482881522916	Retrato Consultoria e Pesquisa de Marketing	CELETISTA	LIVRE	10	2000	2	2001	Coordenadora de Projetos de Pesquisa responsável por:  - Realização de entrevistas em profundidade e moderação de grupos focais, voltados para os mais diversos produtos e organizações (revistas, programas de TV, telefonia, jornal, shopping center, fundações/institutos de atuação social etc); - Elaboração de propostas e planos de pesquisa, incluindo roteiros de entrevistas e grupos, questionários e fichas de recrutamento; - Análise de dados e elaboração de relatórios com base em dados qualitativos e quantitativos;  - Preparação de apresentações de resultados de pesquisa para clientes		Coordenadora de Projetos de Pesquisa
8761482881522916	Universidade Federal Fluminense	SERVIDOR_PUBLICO	LIVRE	02	2010	07	2010	Universidade Federal Fluminente Faculdade de Administração e Ciências Contábeis Departamento de Administração		Professor Adjunto
8761482881522916	Universidade Federal do Rio de Janeiro	SERVIDOR_PUBLICO	LIVRE	08	2010	02	2012	Professora do Departamento de Ciências Contábeis, atuando no Mestrado em Contabilidade e no Programa de Gestão Pública para o Desenvolvimento Econômico e Social.		Professor Adjunto I
8761482881522916	Universidade Federal do Rio de Janeiro	SERVIDOR_PUBLICO	LIVRE	09	2012	06	2016			Coordenador-Adjunto PósGrad. Stricto Sensu
8761482881522916	Universidade Federal do Rio de Janeiro	SERVIDOR_PUBLICO	LIVRE	03	2011	01	2014			Coordenador de Pesquisa
8761482881522916	Universidade Federal do Rio de Janeiro	SERVIDOR_PUBLICO	LIVRE	03	2014	03	2016	Professor das seguintes disciplinas:  Graduação - Fundamentos e Teorias de Administração Graduação - Administração Pública Mestrado - Gestão Pública Doutorado - Metodologia Qualitativa		Professor Adjunto III
8761482881522916	Universidade Federal do Rio de Janeiro	SERVIDOR_PUBLICO	LIVRE	04	2015	01	2018	Editor do Periódico - Sociedade, Contabilidade e Gestão		Editor Sociedade, Contabilidade e Gestão
8761482881522916	Universidade Federal do Rio de Janeiro	SERVIDOR_PUBLICO	LIVRE	03	2012	02	2014			Professor Adjunto II
8761482881522916	Universidade Federal do Rio de Janeiro	SERVIDOR_PUBLICO	LIVRE	07	2016			Coordenadora do Programa de Pós-grduação em Ciências Contábeis		Coordenador Pós-Graduação Stricto Sensu
8761482881522916	Universidade Federal do Rio de Janeiro	SERVIDOR_PUBLICO	LIVRE	04	2016			Professor Adjunto, nível IV, atuando nas seguintes disciplinas:  Graduação - Fundamentos e Teorias de Administração Graduação - Administração Pública Mestrado - Gestão Pública Doutorado - Metodologia Qualitativa		Professor Adjunto IV
9311310817226781	Universidade de Brasília	LIVRE	LIVRE	02	1998	07	1998		Professor Substituto	Professor Substituto
9311310817226781	Universidade de Brasília	LIVRE	LIVRE	04	1993	06	1995		Bolsista PET	Bolsista
9311310817226781	Universidade de Brasília	PROFESSOR_VISITANTE	LIVRE	04	2006	09	2006			Professor Visitante
9311310817226781	Universidade de Brasília	LIVRE	LIVRE	09	2006					Professor Associado I
9391282233857282	Universidade Federal do Rio de Janeiro	PROFESSOR_VISITANTE	LIVRE	3	1980	12	1984	Foi selecionado por um comitê científico binacional num processo de seleção realizado em 1979 na Alemanha para fazer parte do Intercâmbio Acadêmico entre o Brasil e Alemanha. Iniciei minhas atividades no Brasil em 1.3.1980 e permaneci dentro do prgrama de intercâmbio até 29.2.1984.		Professor Adjunto
9391282233857282	Universidade Federal do Rio de Janeiro	CELETISTA	LIVRE	9	1988	6	2006	Após a promulgação da Constituição de 1988 os professores universitários estrangeiros não foram enquadrados no novo regime único dos servidores púbicos, mas, após uma fase de transição, passados para a CLT.		Professor Adjunto
9391282233857282	Universidade Federal do Rio de Janeiro	SERVIDOR_PUBLICO	PROFESSOR_TITULAR	7	2006	3	2014			
9391282233857282	Universitat Erlangen-Nurnberg (Friedrich-Alexander)	SERVIDOR_PUBLICO	LIVRE	5	1973	12	1978			Professor Assistente
9391282233857282	Deutscher Akademischer Austauschdienst	PROFESSOR_VISITANTE	LIVRE	3	1980	2	1985	Intercâmbio acadêmico no àmbito dos convênios de cooperação técnico-científica entre o Brasil e a Alemanha. O DAAD complementava com uma bolsa o salário recebido pela UFRJ como Prof. Visitante na UFRJ		intercâmbio acadêmico Alemanha - Brasil
9982121532266721	Ministério do Exército	SERVIDOR_PUBLICO	LIVRE	1	1992	2	2001	O Relacionamento com o Exército Brasileiro iniciou-se em Jan 1992 (realização de Curso de Formação de Oficiais da Rsserva), e foi até Fev2001 (quando deixei o Exército no Posto de 1º Tenente do Quadro de Material Bélico).		Oficial do Exército Brasileiro
9982121532266721	Universidade Federal de Pernambuco	OUTRO	LIVRE	1	2001	11	2001	Realização de trabalhos de pesquisa científica e docência Superior		Mestrando Bolsista
9982121532266721	Faculdade Integrada do Recife	LIVRE	PROFESSOR_TITULAR	12	2001	08	2006	Desenvolvimento de atividades Docentes (Ensino de Graduacao e Especializacao na Area de Financas Corporativas e Mercados de Capitais, alem de Orientacao de trabalhos de conclusao de Curso), Pesquisa, Representacao de orgaoes de classe (American chamber of Commerce), Organizacao de Eventos (1, 2 e 3 Encontro Norte-Nordeste de Financas). Tambem exerci as funcoes de Coordenador de Estagios e Membro do Comite de Etica na Pesquisa Cientifica.	Celetista formal	
